Function,File,Line,Type,Description
test_util_json_validate_empty_string,./tests/unit/core/core_json_utils_test.sh,203,standard,Function definition
test_util_json_escape_basic,./tests/unit/core/core_json_utils_test.sh,218,standard,Function definition
test_util_json_escape_backslash,./tests/unit/core/core_json_utils_test.sh,237,standard,Function definition
test_util_json_escape_special_chars,./tests/unit/core/core_json_utils_test.sh,256,standard,Function definition
test_util_json_escape_unicode,./tests/unit/core/core_json_utils_test.sh,275,standard,Function definition
test_util_json_escape_empty,./tests/unit/core/core_json_utils_test.sh,294,standard,Function definition
test_util_json_get_value_string,./tests/unit/core/core_json_utils_test.sh,312,standard,Function definition
test_util_json_get_value_number,./tests/unit/core/core_json_utils_test.sh,331,standard,Function definition
test_util_json_get_value_boolean,./tests/unit/core/core_json_utils_test.sh,350,standard,Function definition
test_util_json_get_value_nested,./tests/unit/core/core_json_utils_test.sh,369,standard,Function definition
test_util_json_get_value_array_element,./tests/unit/core/core_json_utils_test.sh,388,standard,Function definition
test_util_json_get_value_nonexistent,./tests/unit/core/core_json_utils_test.sh,407,standard,Function definition
test_util_json_get_value_invalid_json,./tests/unit/core/core_json_utils_test.sh,426,standard,Function definition
test_util_json_create_object_simple,./tests/unit/core/core_json_utils_test.sh,447,standard,Function definition
test_util_json_create_object_special_chars,./tests/unit/core/core_json_utils_test.sh,465,standard,Function definition
test_util_json_create_object_empty,./tests/unit/core/core_json_utils_test.sh,481,standard,Function definition
test_util_json_create_object_odd_args,./tests/unit/core/core_json_utils_test.sh,498,standard,Function definition
test_util_json_create_status_object_complete,./tests/unit/core/core_json_utils_test.sh,517,standard,Function definition
test_util_json_create_status_object_no_metrics,./tests/unit/core/core_json_utils_test.sh,540,standard,Function definition
test_util_json_create_status_object_invalid_metrics,./tests/unit/core/core_json_utils_test.sh,558,standard,Function definition
test_util_json_create_array,./tests/unit/core/core_json_utils_test.sh,578,standard,Function definition
test_util_json_create_array_empty,./tests/unit/core/core_json_utils_test.sh,597,standard,Function definition
test_util_json_array_add,./tests/unit/core/core_json_utils_test.sh,614,standard,Function definition
test_util_json_performance_large,./tests/unit/core/core_json_utils_test.sh,635,standard,Function definition
test_util_json_performance_multiple,./tests/unit/core/core_json_utils_test.sh,660,standard,Function definition
json_multiple_operations,./tests/unit/core/core_json_utils_test.sh,678,standard,Function definition
test_util_json_deep_nesting,./tests/unit/core/core_json_utils_test.sh,692,standard,Function definition
test_util_json_null_values,./tests/unit/core/core_json_utils_test.sh,714,standard,Function definition
test_util_json_numeric_edge_cases,./tests/unit/core/core_json_utils_test.sh,736,standard,Function definition
test_util_json_validate_without_jq,./tests/unit/core/core_json_utils_test.sh,753,standard,Function definition
test_util_json_get_value_without_jq,./tests/unit/core/core_json_utils_test.sh,772,standard,Function definition
run_json_utils_tests,./tests/unit/core/core_json_utils_test.sh,794,standard,Function definition
test_pass,./tests/unit/core/core_command_utils_test.sh,26,standard,Function definition
test_fail,./tests/unit/core/core_command_utils_test.sh,33,standard,Function definition
setup_command_utils_tests,./tests/unit/core/core_command_utils_test.sh,41,standard,Function definition
cleanup_command_utils_tests,./tests/unit/core/core_command_utils_test.sh,83,standard,Function definition
test_util_execute_command_success,./tests/unit/core/core_command_utils_test.sh,90,standard,Function definition
test_util_execute_command_exit_code,./tests/unit/core/core_command_utils_test.sh,106,standard,Function definition
test_util_execute_command_with_args,./tests/unit/core/core_command_utils_test.sh,133,standard,Function definition
test_util_execute_command_with_timeout_success,./tests/unit/core/core_command_utils_test.sh,149,standard,Function definition
test_util_execute_command_with_timeout_enforcement,./tests/unit/core/core_command_utils_test.sh,165,standard,Function definition
test_util_execute_command_safe_basic,./tests/unit/core/core_command_utils_test.sh,189,standard,Function definition
test_util_execute_command_safe_dangerous,./tests/unit/core/core_command_utils_test.sh,207,standard,Function definition
test_util_command_exists_valid,./tests/unit/core/core_command_utils_test.sh,228,standard,Function definition
test_util_command_exists_invalid,./tests/unit/core/core_command_utils_test.sh,246,standard,Function definition
test_util_get_command_path_basic,./tests/unit/core/core_command_utils_test.sh,264,standard,Function definition
test_util_get_command_path_nonexistent,./tests/unit/core/core_command_utils_test.sh,282,standard,Function definition
test_util_validate_command_basic,./tests/unit/core/core_command_utils_test.sh,298,standard,Function definition
test_util_validate_command_invalid,./tests/unit/core/core_command_utils_test.sh,314,standard,Function definition
test_util_execute_background_basic,./tests/unit/core/core_command_utils_test.sh,338,standard,Function definition
test_util_kill_process_basic,./tests/unit/core/core_command_utils_test.sh,369,standard,Function definition
test_util_kill_process_tree_basic,./tests/unit/core/core_command_utils_test.sh,399,standard,Function definition
test_util_get_process_info_basic,./tests/unit/core/core_command_utils_test.sh,431,standard,Function definition
test_util_is_process_running_basic,./tests/unit/core/core_command_utils_test.sh,457,standard,Function definition
test_util_wait_for_process_basic,./tests/unit/core/core_command_utils_test.sh,486,standard,Function definition
test_util_wait_for_process_timeout,./tests/unit/core/core_command_utils_test.sh,513,standard,Function definition
test_util_capture_command_output_basic,./tests/unit/core/core_command_utils_test.sh,544,standard,Function definition
test_util_capture_command_output_error,./tests/unit/core/core_command_utils_test.sh,574,standard,Function definition
test_util_execute_with_retry_success,./tests/unit/core/core_command_utils_test.sh,604,standard,Function definition
test_util_execute_with_retry_failure,./tests/unit/core/core_command_utils_test.sh,630,standard,Function definition
test_util_execute_with_retry_max_exceeded,./tests/unit/core/core_command_utils_test.sh,661,standard,Function definition
test_util_execute_parallel_basic,./tests/unit/core/core_command_utils_test.sh,687,standard,Function definition
test_util_command_performance,./tests/unit/core/core_command_utils_test.sh,716,standard,Function definition
command_performance_test,./tests/unit/core/core_command_utils_test.sh,734,standard,Function definition
test_util_command_edge_cases,./tests/unit/core/core_command_utils_test.sh,743,standard,Function definition
test_util_command_memory_efficiency,./tests/unit/core/core_command_utils_test.sh,778,standard,Function definition
test_util_command_signal_handling,./tests/unit/core/core_command_utils_test.sh,795,standard,Function definition
main,./tests/unit/core/core_command_utils_test.sh,825,standard,Function definition
setup_reset_functionality_tests,./tests/unit/core/reset_functionality_test.sh,19,standard,Function definition
cleanup_reset_functionality_tests,./tests/unit/core/reset_functionality_test.sh,26,standard,Function definition
test_reset_script_exists,./tests/unit/core/reset_functionality_test.sh,41,standard,Function definition
test_reset_script_help,./tests/unit/core/reset_functionality_test.sh,56,standard,Function definition
test_reset_script_dry_run,./tests/unit/core/reset_functionality_test.sh,75,standard,Function definition
test_reset_script_force_mode,./tests/unit/core/reset_functionality_test.sh,107,standard,Function definition
test_wrapper_script,./tests/unit/core/reset_functionality_test.sh,152,standard,Function definition
main,./tests/unit/core/reset_functionality_test.sh,179,standard,Function definition
create_test_yaml_config,./tests/unit/core/core_config_utils_test.sh,25,standard,Function definition
create_validation_rules,./tests/unit/core/core_config_utils_test.sh,124,standard,Function definition
setup_config_utils_tests,./tests/unit/core/core_config_utils_test.sh,140,standard,Function definition
cleanup_config_utils_tests,./tests/unit/core/core_config_utils_test.sh,162,standard,Function definition
test_config_parse_yaml_basic,./tests/unit/core/core_config_utils_test.sh,183,standard,Function definition
test_config_parse_yaml_nested,./tests/unit/core/core_config_utils_test.sh,204,standard,Function definition
test_config_parse_yaml_arrays,./tests/unit/core/core_config_utils_test.sh,224,standard,Function definition
test_config_parse_yaml_complex,./tests/unit/core/core_config_utils_test.sh,244,standard,Function definition
test_config_parse_yaml_errors,./tests/unit/core/core_config_utils_test.sh,265,standard,Function definition
test_config_get_cached,./tests/unit/core/core_config_utils_test.sh,282,standard,Function definition
test_config_get_value_basic,./tests/unit/core/core_config_utils_test.sh,304,standard,Function definition
test_config_get_value_defaults,./tests/unit/core/core_config_utils_test.sh,325,standard,Function definition
test_config_get_value_dot_notation,./tests/unit/core/core_config_utils_test.sh,344,standard,Function definition
test_config_get_array,./tests/unit/core/core_config_utils_test.sh,364,standard,Function definition
test_config_get_array_empty,./tests/unit/core/core_config_utils_test.sh,389,standard,Function definition
test_config_set_value_basic,./tests/unit/core/core_config_utils_test.sh,400,standard,Function definition
test_config_set_value_special_chars,./tests/unit/core/core_config_utils_test.sh,421,standard,Function definition
test_config_set_value_overwrite,./tests/unit/core/core_config_utils_test.sh,442,standard,Function definition
test_config_validate_values,./tests/unit/core/core_config_utils_test.sh,460,standard,Function definition
test_config_validate_values_failures,./tests/unit/core/core_config_utils_test.sh,479,standard,Function definition
test_config_validate_values_enum,./tests/unit/core/core_config_utils_test.sh,497,standard,Function definition
test_config_validate_values_range,./tests/unit/core/core_config_utils_test.sh,515,standard,Function definition
test_config_load_env_overrides,./tests/unit/core/core_config_utils_test.sh,533,standard,Function definition
test_config_create_default,./tests/unit/core/core_config_utils_test.sh,559,standard,Function definition
test_config_create_default_mkdir,./tests/unit/core/core_config_utils_test.sh,581,standard,Function definition
test_config_performance_large,./tests/unit/core/core_config_utils_test.sh,597,standard,Function definition
test_config_edge_cases,./tests/unit/core/core_config_utils_test.sh,633,standard,Function definition
test_config_namespace_isolation,./tests/unit/core/core_config_utils_test.sh,662,standard,Function definition
test_config_parser_comparison,./tests/unit/core/core_config_utils_test.sh,680,standard,Function definition
main,./tests/unit/core/core_config_utils_test.sh,704,standard,Function definition
assert,./tests/unit/core/security_test.sh,37,standard,Function definition
check_no_files_created,./tests/unit/core/security_test.sh,72,standard,Function definition
cleanup_numbered_files,./tests/unit/core/security_test.sh,88,standard,Function definition
assert,./tests/unit/core/utils_test.sh,37,standard,Function definition
setup_validation_utils_tests,./tests/unit/core/core_validation_utils_test.sh,23,standard,Function definition
cleanup_validation_utils_tests,./tests/unit/core/core_validation_utils_test.sh,48,standard,Function definition
test_require_param_valid,./tests/unit/core/core_validation_utils_test.sh,60,standard,Function definition
test_require_param_invalid,./tests/unit/core/core_validation_utils_test.sh,80,standard,Function definition
test_validate_numeric_valid,./tests/unit/core/core_validation_utils_test.sh,95,standard,Function definition
test_validate_numeric_invalid,./tests/unit/core/core_validation_utils_test.sh,108,standard,Function definition
test_validate_positive_numeric_valid,./tests/unit/core/core_validation_utils_test.sh,130,standard,Function definition
test_validate_positive_numeric_invalid,./tests/unit/core/core_validation_utils_test.sh,140,standard,Function definition
test_validate_boolean_valid,./tests/unit/core/core_validation_utils_test.sh,156,standard,Function definition
test_validate_boolean_invalid,./tests/unit/core/core_validation_utils_test.sh,165,standard,Function definition
test_validate_file_exists_valid,./tests/unit/core/core_validation_utils_test.sh,180,standard,Function definition
test_validate_file_exists_invalid,./tests/unit/core/core_validation_utils_test.sh,191,standard,Function definition
test_validate_dir_exists_valid,./tests/unit/core/core_validation_utils_test.sh,207,standard,Function definition
test_validate_dir_exists_invalid,./tests/unit/core/core_validation_utils_test.sh,221,standard,Function definition
test_validate_executable_valid,./tests/unit/core/core_validation_utils_test.sh,237,standard,Function definition
test_validate_executable_invalid,./tests/unit/core/core_validation_utils_test.sh,250,standard,Function definition
test_validate_ip_address_valid,./tests/unit/core/core_validation_utils_test.sh,261,standard,Function definition
test_validate_ip_address_invalid,./tests/unit/core/core_validation_utils_test.sh,275,standard,Function definition
test_validate_port_valid,./tests/unit/core/core_validation_utils_test.sh,292,standard,Function definition
test_validate_port_invalid,./tests/unit/core/core_validation_utils_test.sh,306,standard,Function definition
test_validate_url_valid,./tests/unit/core/core_validation_utils_test.sh,321,standard,Function definition
test_validate_url_invalid,./tests/unit/core/core_validation_utils_test.sh,336,standard,Function definition
test_validate_email_valid,./tests/unit/core/core_validation_utils_test.sh,350,standard,Function definition
test_validate_email_invalid,./tests/unit/core/core_validation_utils_test.sh,363,standard,Function definition
test_validate_log_level_valid,./tests/unit/core/core_validation_utils_test.sh,379,standard,Function definition
test_validate_log_level_invalid,./tests/unit/core/core_validation_utils_test.sh,391,standard,Function definition
test_validate_string_length_valid,./tests/unit/core/core_validation_utils_test.sh,406,standard,Function definition
test_validate_string_length_invalid,./tests/unit/core/core_validation_utils_test.sh,422,standard,Function definition
test_validate_path_safe_valid,./tests/unit/core/core_validation_utils_test.sh,438,standard,Function definition
test_validate_path_safe_invalid,./tests/unit/core/core_validation_utils_test.sh,453,standard,Function definition
test_sanitize_input,./tests/unit/core/core_validation_utils_test.sh,464,standard,Function definition
test_sanitize_path,./tests/unit/core/core_validation_utils_test.sh,493,standard,Function definition
test_validation_edge_cases,./tests/unit/core/core_validation_utils_test.sh,519,standard,Function definition
test_validation_performance,./tests/unit/core/core_validation_utils_test.sh,546,standard,Function definition
test_validation_combinations,./tests/unit/core/core_validation_utils_test.sh,577,standard,Function definition
main,./tests/unit/core/core_validation_utils_test.sh,603,standard,Function definition
assert,./tests/unit/core/logging_test.sh,39,standard,Function definition
assert,./tests/unit/core/composite_test.sh,35,standard,Function definition
create_mock_results,./tests/unit/core/composite_test.sh,70,standard,Function definition
setup_config_validation_tests,./tests/unit/config/config_validation_test.sh,29,standard,Function definition
cleanup_config_validation_tests,./tests/unit/config/config_validation_test.sh,37,standard,Function definition
create_test_config,./tests/unit/config/config_validation_test.sh,42,standard,Function definition
test_valid_config_validation,./tests/unit/config/config_validation_test.sh,117,standard,Function definition
test_invalid_yaml_validation,./tests/unit/config/config_validation_test.sh,144,standard,Function definition
test_invalid_values_validation,./tests/unit/config/config_validation_test.sh,176,standard,Function definition
test_missing_required_validation,./tests/unit/config/config_validation_test.sh,227,standard,Function definition
test_empty_config_validation,./tests/unit/config/config_validation_test.sh,273,standard,Function definition
test_config_permissions_validation,./tests/unit/config/config_validation_test.sh,301,standard,Function definition
test_config_schema_validation,./tests/unit/config/config_validation_test.sh,337,standard,Function definition
test_config_range_validation,./tests/unit/config/config_validation_test.sh,378,standard,Function definition
main,./tests/unit/config/config_validation_test.sh,447,standard,Function definition
setup_env_override_tests,./tests/unit/config/env_override_test.sh,28,standard,Function definition
cleanup_env_override_tests,./tests/unit/config/env_override_test.sh,42,standard,Function definition
create_base_config,./tests/unit/config/env_override_test.sh,72,standard,Function definition
test_basic_env_override,./tests/unit/config/env_override_test.sh,104,standard,Function definition
test_numeric_env_override,./tests/unit/config/env_override_test.sh,133,standard,Function definition
test_env_variable_validation,./tests/unit/config/env_override_test.sh,162,standard,Function definition
test_property_based_env_overrides,./tests/unit/config/env_override_test.sh,206,standard,Function definition
test_env_precedence_property,./tests/unit/config/env_override_test.sh,224,standard,Function definition
test_nested_config_override,./tests/unit/config/env_override_test.sh,260,standard,Function definition
test_env_precedence_order,./tests/unit/config/env_override_test.sh,295,standard,Function definition
test_env_case_sensitivity,./tests/unit/config/env_override_test.sh,322,standard,Function definition
test_env_special_characters,./tests/unit/config/env_override_test.sh,348,standard,Function definition
main,./tests/unit/config/env_override_test.sh,378,standard,Function definition
test_pass,./tests/unit/plugins/cpu_plugin_test.sh,26,standard,Function definition
test_fail,./tests/unit/plugins/cpu_plugin_test.sh,33,standard,Function definition
generate_iostat_output,./tests/unit/plugins/cpu_plugin_test.sh,42,standard,Function definition
generate_top_macos_output,./tests/unit/plugins/cpu_plugin_test.sh,51,standard,Function definition
generate_top_linux_output,./tests/unit/plugins/cpu_plugin_test.sh,60,standard,Function definition
generate_proc_stat_output,./tests/unit/plugins/cpu_plugin_test.sh,69,standard,Function definition
generate_uptime_output,./tests/unit/plugins/cpu_plugin_test.sh,91,standard,Function definition
generate_sar_output,./tests/unit/plugins/cpu_plugin_test.sh,96,standard,Function definition
setup_cpu_test,./tests/unit/plugins/cpu_plugin_test.sh,109,standard,Function definition
teardown_cpu_test,./tests/unit/plugins/cpu_plugin_test.sh,122,standard,Function definition
test_cpu_plugin_info,./tests/unit/plugins/cpu_plugin_test.sh,129,standard,Function definition
test_cpu_plugin_configure_valid,./tests/unit/plugins/cpu_plugin_test.sh,142,standard,Function definition
test_cpu_plugin_configure_invalid_thresholds,./tests/unit/plugins/cpu_plugin_test.sh,169,standard,Function definition
test_cpu_plugin_configure_threshold_adjustment,./tests/unit/plugins/cpu_plugin_test.sh,193,standard,Function definition
test_get_cpu_usage_iostat,./tests/unit/plugins/cpu_plugin_test.sh,216,standard,Function definition
test_get_cpu_usage_top_macos,./tests/unit/plugins/cpu_plugin_test.sh,241,standard,Function definition
test_get_cpu_usage_top_linux,./tests/unit/plugins/cpu_plugin_test.sh,266,standard,Function definition
test_get_cpu_usage_proc_stat,./tests/unit/plugins/cpu_plugin_test.sh,291,standard,Function definition
test_get_cpu_usage_sar,./tests/unit/plugins/cpu_plugin_test.sh,335,standard,Function definition
test_get_cpu_usage_load_fallback,./tests/unit/plugins/cpu_plugin_test.sh,362,standard,Function definition
test_get_cpu_usage_error_handling,./tests/unit/plugins/cpu_plugin_test.sh,389,standard,Function definition
test_get_cpu_usage_over_100_percent,./tests/unit/plugins/cpu_plugin_test.sh,414,standard,Function definition
test_get_load_average_uptime,./tests/unit/plugins/cpu_plugin_test.sh,441,standard,Function definition
test_get_load_average_proc,./tests/unit/plugins/cpu_plugin_test.sh,464,standard,Function definition
test_cpu_plugin_check_ok,./tests/unit/plugins/cpu_plugin_test.sh,502,standard,Function definition
test_cpu_plugin_check_warning,./tests/unit/plugins/cpu_plugin_test.sh,530,standard,Function definition
test_cpu_plugin_check_critical,./tests/unit/plugins/cpu_plugin_test.sh,557,standard,Function definition
test_cpu_plugin_check_error,./tests/unit/plugins/cpu_plugin_test.sh,584,standard,Function definition
run_cpu_plugin_tests,./tests/unit/plugins/cpu_plugin_test.sh,607,standard,Function definition
test_pass,./tests/unit/plugins/memory_plugin_test.sh,26,standard,Function definition
test_fail,./tests/unit/plugins/memory_plugin_test.sh,33,standard,Function definition
generate_proc_meminfo,./tests/unit/plugins/memory_plugin_test.sh,42,standard,Function definition
generate_free_output,./tests/unit/plugins/memory_plugin_test.sh,74,standard,Function definition
generate_vm_stat_output,./tests/unit/plugins/memory_plugin_test.sh,90,standard,Function definition
generate_compat_memory_info,./tests/unit/plugins/memory_plugin_test.sh,124,standard,Function definition
setup_memory_test,./tests/unit/plugins/memory_plugin_test.sh,134,standard,Function definition
teardown_memory_test,./tests/unit/plugins/memory_plugin_test.sh,148,standard,Function definition
test_memory_plugin_info,./tests/unit/plugins/memory_plugin_test.sh,155,standard,Function definition
test_memory_plugin_configure_valid,./tests/unit/plugins/memory_plugin_test.sh,168,standard,Function definition
test_memory_plugin_configure_invalid_thresholds,./tests/unit/plugins/memory_plugin_test.sh,202,standard,Function definition
test_memory_plugin_configure_threshold_swapping,./tests/unit/plugins/memory_plugin_test.sh,220,standard,Function definition
test_memory_plugin_check_compat_layer,./tests/unit/plugins/memory_plugin_test.sh,244,standard,Function definition
test_memory_plugin_check_linux_proc,./tests/unit/plugins/memory_plugin_test.sh,281,standard,Function definition
test_memory_plugin_check_linux_free,./tests/unit/plugins/memory_plugin_test.sh,324,standard,Function definition
test_memory_plugin_check_macos,./tests/unit/plugins/memory_plugin_test.sh,363,standard,Function definition
test_memory_plugin_check_status_ok,./tests/unit/plugins/memory_plugin_test.sh,407,standard,Function definition
test_memory_plugin_check_status_warning,./tests/unit/plugins/memory_plugin_test.sh,426,standard,Function definition
test_memory_plugin_check_status_critical,./tests/unit/plugins/memory_plugin_test.sh,445,standard,Function definition
test_memory_plugin_check_swap_handling,./tests/unit/plugins/memory_plugin_test.sh,464,standard,Function definition
test_memory_plugin_check_buffers_cache,./tests/unit/plugins/memory_plugin_test.sh,487,standard,Function definition
test_memory_plugin_check_error_no_methods,./tests/unit/plugins/memory_plugin_test.sh,531,standard,Function definition
test_memory_plugin_check_zero_memory,./tests/unit/plugins/memory_plugin_test.sh,555,standard,Function definition
test_memory_plugin_check_json_validation,./tests/unit/plugins/memory_plugin_test.sh,574,standard,Function definition
run_memory_plugin_tests,./tests/unit/plugins/memory_plugin_test.sh,598,standard,Function definition
test_pass,./tests/unit/plugins/process_plugin_test.sh,26,standard,Function definition
test_fail,./tests/unit/plugins/process_plugin_test.sh,33,standard,Function definition
